Id,WnvPresent
1,0.014
2,0.0070000000000000001
3,0.0089999999999999993
4,0.0089999999999999993
5,0.0089999999999999993
6,0.0089999999999999993
7,0.0089999999999999993
8,0.0089999999999999993
9,0.0040000000000000001
10,0.0040000000000000001
11,0.002
12,0.002
13,0.002
14,0.002
15,0.002
16,0.002
17,0.0050000000000000001
18,0.0030000000000000001
19,0.002
20,0.001
21,0.001
22,0.001
23,0.002
24,0.001
25,0.0050000000000000001
26,0.0050000000000000001
27,0.0050000000000000001
28,0.0050000000000000001
29,0.0050000000000000001
30,0.0050000000000000001
31,0.0050000000000000001
32,0.0050000000000000001
33,0.0070000000000000001
34,0.0030000000000000001
35,0.0030000000000000001
36,0.0030000000000000001
37,0.0030000000000000001
38,0.0030000000000000001
39,0.0030000000000000001
40,0.0030000000000000001
41,0.0040000000000000001
42,0.002
43,0.0030000000000000001
44,0.0030000000000000001
45,0.0030000000000000001
46,0.0030000000000000001
47,0.0030000000000000001
48,0.0030000000000000001
49,0.0040000000000000001
50,0.002
51,0.0030000000000000001
52,0.0030000000000000001
53,0.0030000000000000001
54,0.0030000000000000001
55,0.0030000000000000001
56,0.0030000000000000001
57,0.0040000000000000001
58,0.0030000000000000001
59,0.002
60,0.002
61,0.002
62,0.002
63,0.002
64,0.002
65,0.014999999999999999
66,0.010999999999999999
67,0.0089999999999999993
68,0.0089999999999999993
69,0.0089999999999999993
70,0.0089999999999999993
71,0.0089999999999999993
72,0.0089999999999999993
73,0.010999999999999999
74,0.010999999999999999
75,0.0089999999999999993
76,0.0089999999999999993
77,0.0089999999999999993
78,0.0089999999999999993
79,0.0089999999999999993
80,0.0089999999999999993
81,0.0040000000000000001
82,0.002
83,0.0030000000000000001
84,0.0030000000000000001
85,0.0030000000000000001
86,0.0030000000000000001
87,0.0030000000000000001
88,0.0030000000000000001
89,0.0089999999999999993
90,0.0060000000000000001
91,0.0060000000000000001
92,0.0060000000000000001
93,0.0060000000000000001
94,0.0060000000000000001
95,0.0060000000000000001
96,0.0060000000000000001
97,0.0070000000000000001
98,0.0060000000000000001
99,0.0050000000000000001
100,0.0050000000000000001
101,0.0050000000000000001
102,0.0050000000000000001
103,0.0050000000000000001
104,0.0050000000000000001
105,0.002
106,0.0030000000000000001
107,0.002
108,0.002
109,0.002
110,0.002
111,0.002
112,0.002
113,0.0030000000000000001
114,0.002
115,0.001
116,0.001
117,0.001
118,0.001
119,0.001
120,0.001
121,0.0070000000000000001
122,0.0070000000000000001
123,0.0050000000000000001
124,0.0050000000000000001
125,0.0050000000000000001
126,0.0050000000000000001
127,0.0050000000000000001
128,0.0050000000000000001
129,0.0050000000000000001
130,0.0030000000000000001
131,0.001
132,0.001
133,0.001
134,0.001
135,0.001
136,0.001
137,0.0070000000000000001
138,0.0030000000000000001
139,0.0030000000000000001
140,0.0030000000000000001
141,0.0030000000000000001
142,0.0030000000000000001
143,0.0030000000000000001
144,0.0030000000000000001
145,0.034000000000000002
146,0.025999999999999999
147,0.035000000000000003
148,0.025000000000000001
149,0.027
150,0.027
151,0.034000000000000002
152,0.027
153,0.0089999999999999993
154,0.0050000000000000001
155,0.0050000000000000001
156,0.0040000000000000001
157,0.0040000000000000001
158,0.0040000000000000001
159,0.0050000000000000001
160,0.0040000000000000001
161,0.01
162,0.0070000000000000001
163,0.0080000000000000002
164,0.0080000000000000002
165,0.0080000000000000002
166,0.0080000000000000002
167,0.0080000000000000002
168,0.0080000000000000002
169,0.0040000000000000001
170,0.0040000000000000001
171,0.002
172,0.002
173,0.002
174,0.002
175,0.002
176,0.002
177,0.0050000000000000001
178,0.0030000000000000001
179,0.001
180,0.001
181,0.001
182,0.001
183,0.001
184,0.001
185,0.0050000000000000001
186,0.0050000000000000001
187,0.0030000000000000001
188,0.0030000000000000001
189,0.0030000000000000001
190,0.0030000000000000001
191,0.0030000000000000001
192,0.0030000000000000001
193,0.0040000000000000001
194,0.0030000000000000001
195,0.002
196,0.002
197,0.002
198,0.002
199,0.002
200,0.002
201,0.0080000000000000002
202,0.0040000000000000001
203,0.0030000000000000001
204,0.0030000000000000001
205,0.0030000000000000001
206,0.0030000000000000001
207,0.0030000000000000001
208,0.0030000000000000001
209,0.012999999999999999
210,0.012
211,0.010999999999999999
212,0.010999999999999999
213,0.010999999999999999
214,0.010999999999999999
215,0.010999999999999999
216,0.010999999999999999
217,0.0030000000000000001
218,0.002
219,0.0030000000000000001
220,0.0030000000000000001
221,0.0030000000000000001
222,0.0030000000000000001
223,0.0030000000000000001
224,0.0030000000000000001
225,0.0030000000000000001
226,0.002
227,0.0030000000000000001
228,0.0030000000000000001
229,0.0030000000000000001
230,0.0030000000000000001
231,0.0030000000000000001
232,0.0030000000000000001
233,0.021000000000000001
234,0.017999999999999999
235,0.012999999999999999
236,0.014
